year,awards_name,winner,winner_details
1994,Best Actor - Comedy or Musical,Robin Williams,Mrs. Doubtfire
1994,Best Actor - Drama,Tom Hanks,Philadelphia
1994,Best Actress - Comedy or Musical,Angela Bassett,What's Love Got to Do with It
1994,Best Actress - Drama,Holly Hunter,The Piano
1995,Best Director ,Robert Zemeckis,Forrest Gump
1995,Best Actor - Comedy or Musical,Hugh Grant,Four Weddings and a Funeral
1995,Best Actor - Drama,Tom Hanks,Forrest Gump
1995,Best Actress - Comedy or Musical,Jamie Lee Curtis,True Lies
1995,Best Actress - Drama,Jessica Lange,Blue Sky
1996,Best Director ,Mel Gibson,Braveheart
1996,Best Actor - Comedy or Musical,John Travolta,Get Shorty
1996,Best Actor - Drama,Nicolas Cage,Leaving Las Vegas
1996,Best Actress - Comedy or Musical,Nicole Kidman,To Die For
1996,Best Actress - Drama,Sharon Stone,Casino
1997,Best Director ,Milos Forman,The People vs. Larry Flynt
1997,Best Actor - Comedy or Musical,Tom Cruise,Jerry Maguire
1997,Best Actor - Drama,Geoffrey Rush,Shine
1997,Best Actress - Comedy or Musical,Madonna,Evita
1997,Best Actress - Drama,Brenda Blethyn,Secrets & Lies
1998,Best Director ,James Cameron,Titanic
1998,Best Actor - Comedy or Musical,Jack Nicholson,As Good as It Gets
1998,Best Actor - Drama,Peter Fonda,Ulee's Gold
1998,Best Actress - Comedy or Musical,Helen Hunt,As Good as It Gets
1998,Best Actress - Drama,Judi Dench,Mrs. Brown
1999,Best Director ,Steven Spielberg,Saving Private Ryan
1999,Best Actor - Comedy or Musical,Michael Caine,Little Voice
1999,Best Actor - Drama,Jim Carrey,The Truman Show
1999,Best Actress - Comedy or Musical,Gwyneth Paltrow,Shakespeare in Love
1999,Best Actress - Drama,Cate Blanchett,Elizabeth
2000,Best Director ,Sam Mendes,American Beauty
2000,Best Actor - Comedy or Musical,Jim Carrey,Man on the Moon
2000,Best Actor - Drama,Denzel Washington,The Hurricane
2000,Best Actress - Comedy or Musical,Janet McTeer,Tumbleweeds
2000,Best Actress - Drama,Hilary Swank,Boys Don't Cry
2001,Best Director ,Ang Lee,"Crouching Tiger, Hidden Dragon"
2001,Best Actor - Comedy or Musical,George Clooney,"O Brother, Where Art Thou?"
2001,Best Actor - Drama,Tom Hanks,Cast Away
2001,Best Actress - Comedy or Musical,Renée Zellweger,Nurse Betty
2001,Best Actress - Drama,Julia Roberts,Erin Brockovich
2002,Best Director ,Robert Altman,Gosford Park
2002,Best Actor - Comedy or Musical,Gene Hackman,The Royal Tenenbaums
2002,Best Actor - Drama,Russell Crowe,A Beautiful Mind
2002,Best Actress - Comedy or Musical,Nicole Kidman,Moulin Rouge!
2002,Best Actress - Drama,Sissy Spacek,In the Bedroom
2003,Best Director ,Martin Scorsese,Gangs of New York
2003,Best Actor - Comedy or Musical,Richard Gere,Chicago
2003,Best Actor - Drama,Jack Nicholson,About Schmidt
