web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647969549-1354,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Us,Us,https://www.imdb.com/title/tt6857112/?ref_=adv_li_tt,2019,18,1h,56m,116,6.8,271K,271000,"March 22, 2019 (United States)",United States,22-Mar-19,22,Mar,2019,"$175,084,580 ","$71,117,625 ","$255,185,482 "
1647965543-498,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",American Pie 2,American Pie 2,https://www.imdb.com/title/tt0252866/?ref_=adv_li_tt,2001,R,1h,48m,108,6.4,251K,251000,"August 10, 2001 (United States)",United States,10-Aug-01,10,Aug,2001,"$145,103,595 ","$45,117,985 ","$287,553,595 "
1647976015-2736,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Angry Birds Movie,The Angry Birds Movie,https://www.imdb.com/title/tt1985949/?ref_=adv_li_tt,2016,G,1h,37m,97,6.3,89K,89000,"May 12, 2016 (Thailand)",Thailand,12-May-16,12,May,2016,"$107,509,366 ","$38,155,177 ","$352,333,929 "
1647977501-3062,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",A Dangerous Method,A Dangerous Method,https://www.imdb.com/title/tt1571222/?ref_=adv_li_tt,2011,R,1h,39m,99,6.4,102K,102000,"November 10, 2011 (Germany)",Germany,10-Nov-11,10,Nov,2011,"$5,704,709 ","$167,953 ","$30,519,436 "
1647967807-982,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Blade,Blade,https://www.imdb.com/title/tt0120611/?ref_=adv_li_tt,1998,R,2h,,120,7.1,265K,265000,"August 21, 1998 (United States)",United States,21-Aug-98,21,Aug,1998,"$70,087,718 ","$17,073,856 ","$131,211,377 "
1647978537-3289,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Wet Hot American Summer,Wet Hot American Summer,https://www.imdb.com/title/tt0243655/?ref_=adv_li_tt,2001,R,1h,37m,97,6.5,57K,57000,"July 27, 2001 (India)",India,27-Jul-01,27,Jul,2001,"$295,206 ","$17,481 ","$295,206 "
1647967492-914,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",GoldenEye,GoldenEye,https://www.imdb.com/title/tt0113189/?ref_=adv_li_tt,1995,15,2h,10m,130,7.2,253K,253000,"November 17, 1995 (United States)",United States,17-Nov-95,17,Nov,1995,"$106,429,941 ","$26,205,007 ","$352,194,034 "
1647963780-142,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Three Kings,Three Kings,https://www.imdb.com/title/tt0120188/?ref_=adv_li_tt,1999,R,1h,54m,114,7.1,169K,169000,"February 25, 2000 (Thailand)",Thailand,25-Feb-00,25,Feb,2000,"$60,652,036 ","$15,847,636 ","$107,752,036 "
1647969774-1401,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250","The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt,1966,R,2h,41m,161,8.8,738K,738000,"December 23, 1966 (Italy)",Italy,23-Dec-66,23,Dec,1966,"$25,100,000 ",null,"$25,253,751 "
1647975702-2668,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Lords of Dogtown,Lords of Dogtown,https://www.imdb.com/title/tt0355702/?ref_=adv_li_tt,2005,PG-13,1h,47m,107,7.1,55K,55000,"June 3, 2005 (United States)",United States,03-Jun-05,03,Jun,2005,"$11,273,517 ","$5,623,373 ","$13,411,957 "
