,title,pcom
1753,Scanners,Montreal Trust Company of Canada
1754,Control,Becker Films
1754,Control,CINV
1754,Control,Claraflora
1755,Agora,Mod Producciones
1755,Agora,Himenóptero
1755,Agora,Telecinco Cinema
1756,No Escape,Bold Films
1756,No Escape,Brothers Dowdle Productions
1757,Wings of Desire,Road Movies Filmproduktion
1757,Wings of Desire,Argos Films
1757,Wings of Desire,Westdeutscher Rundfunk (WDR)
1758,Halloween 4: The Return of Michael Myers,Trancas International Films
1759,Robot & Frank,Dog Run Pictures
1759,Robot & Frank,Park Pictures
1759,Robot & Frank,TBB
1760,Filth,Steel Mill Pictures
1760,Filth,Logie Pictures
1760,Filth,Altitude Film Entertainment
1761,Bean,Polygram Filmed Entertainment
1761,Bean,Working Title Films
1761,Bean,Tiger Aspect Productions
1762,The Dreamers,Recorded Picture Company (RPC)
1762,The Dreamers,Fiction
1762,The Dreamers,Peninsula Films
1763,The Iceman,Bleiberg Entertainment
1763,The Iceman,Millennium Films
1763,The Iceman,FortyFour Studios
1764,42,Warner Bros.
1764,42,Legendary Entertainment
1765,Felon,Stage 6 Films
1765,Felon,Tucker Tooley Entertainment
1765,Felon,Pantry Films
1766,Raw,Petit Film
1766,Raw,Rouge International
1766,Raw,Frakas Productions
1767,Get Shorty,Metro-Goldwyn-Mayer (MGM)
1767,Get Shorty,Jersey Films
1768,The Core,Paramount Pictures
1768,The Core,David Foster Productions
1768,The Core,Munich Film Partners New Century & Company (MFP) Core Productions
1769,Dream House,Cliffjack Motion Pictures
1769,Dream House,Hell's Kitchen Films
1769,Dream House,Morgan Creek Entertainment
1770,The Ten Commandments,Motion Picture Associates (II)
1771,Midnight Cowboy,Jerome Hellman Productions
1771,Midnight Cowboy,Florin Productions
1772,Peppermint,STX Films
1772,Peppermint,Lakeshore Entertainment
1772,Peppermint,Huayi Brothers Media
1773,Epic Movie,New Regency Productions
1773,Epic Movie,New Regency Productions
1773,Epic Movie,Paul Schiff Productions
1774,Cats & Dogs,Warner Bros.
1774,Cats & Dogs,Village Roadshow Pictures
1774,Cats & Dogs,NPV Entertainment
1775,Hitman: Agent 47,Twentieth Century Fox
1775,Hitman: Agent 47,Daybreak Productions
1775,Hitman: Agent 47,Prime Universe Productions
1776,The Square,Plattform Produktion
1776,The Square,Film i Väst
1776,The Square,Essential Filmproduktion GmbH
1777,Anna Karenina,Universal Pictures
1777,Anna Karenina,Focus Features
1777,Anna Karenina,Working Title Films
1778,American Assassin,CBS Films
1778,American Assassin,Lionsgate
1778,American Assassin,TIK Films
1779,The Adam Project,21 Laps Entertainment
1779,The Adam Project,Maximum Effort
1779,The Adam Project,Skydance Media
1780,Baby,T-Series
1780,Baby,All Around Globe Services
1780,Baby,Ark Production
1781,Harsh Times,Andrea Sperling Productions
1781,Harsh Times,C.M. Films
1781,Harsh Times,Crave Films
1782,Stuart Little 2,Columbia Pictures
1782,Stuart Little 2,Franklin/Waterman Productions
1782,Stuart Little 2,Red Wagon Entertainment
1783,Fried Green Tomatoes,Universal Pictures
1783,Fried Green Tomatoes,Act III Communications
1783,Fried Green Tomatoes,Avnet/Kerner Productions
1784,Breakdown,Dino De Laurentiis Company
1784,Breakdown,Paramount Pictures
1784,Breakdown,Spelling Films
1785,Gold,Black Bear Pictures
1785,Gold,Boies Schiller Entertainment
1785,Gold,Hwy61
1786,Session 9,USA Films
1786,Session 9,Scout Productions
1786,Session 9,October Films
1787,Shaft.1,Davis Entertainment
1787,Shaft.1,Khalabo Ink Society
1787,Shaft.1,Netflix
1788,Pride and Prejudice and Zombies,Cross Creek Pictures
1788,Pride and Prejudice and Zombies,MadRiver Pictures
1788,Pride and Prejudice and Zombies,QC Entertainment
1789,Flight of the Phoenix,Twentieth Century Fox
1789,Flight of the Phoenix,Aldrich Group
1789,Flight of the Phoenix,Davis Entertainment
1790,Alvin and the Chipmunks,Fox 2000 Pictures
1790,Alvin and the Chipmunks,New Regency Productions
1790,Alvin and the Chipmunks,Bagdasarian Productions
1791,The Good Shepherd,Universal Pictures
1791,The Good Shepherd,Morgan Creek Entertainment
1791,The Good Shepherd,Tribeca Productions
1792,Pee-wee's Big Adventure,Warner Bros.
1792,Pee-wee's Big Adventure,Aspen Film Society
1793,eXistenZ,Dimension Films
1793,eXistenZ,Alliance Atlantis Communications
1793,eXistenZ,Canadian Television Fund
1794,The Dead Zone,Dino De Laurentiis Company
1794,The Dead Zone,Lorimar Film Entertainment
1795,Frost/Nixon,Universal Pictures
1795,Frost/Nixon,Imagine Entertainment
1795,Frost/Nixon,Working Title Films
1796,Pan,Warner Bros.
1796,Pan,RatPac-Dune Entertainment
1796,Pan,Berlanti Productions
1797,The Angry Birds Movie,Columbia Pictures
1797,The Angry Birds Movie,Sony Pictures Animation
1797,The Angry Birds Movie,Rovio Entertainment
1798,Young Adult,Paramount Pictures
1798,Young Adult,Denver and Delilah Productions
1798,Young Adult,Indian Paintbrush
1799,Harold and Maude,Mildred Lewis and Colin Higgins Productions
1800,Semi-Pro,New Line Cinema
1800,Semi-Pro,Mosaic
1800,Semi-Pro,Donners' Company
1801,Road House,Silver Pictures
1801,Road House,Star Partners II Ltd.
1802,A Monster Calls,Participant
1802,A Monster Calls,River Road Entertainment
1802,A Monster Calls,A Monster Calls
1803,Enough Said,Fox Searchlight Pictures
1803,Enough Said,TSG Entertainment
1803,Enough Said,Ingenious Media
1804,Thirteen,Fox Searchlight Pictures
1804,Thirteen,Michael London Productions
1804,Thirteen,Working Title Films
1805,The Best Years of Our Lives,The Samuel Goldwyn Company
1806,That Thing You Do!,Clavius Base
1806,That Thing You Do!,Clinica Estetico
1806,That Thing You Do!,Twentieth Century Fox
1807,Beautiful Creatures,Alcon Entertainment
1807,Beautiful Creatures,Belle Pictures
1807,Beautiful Creatures,Summit Entertainment
1808,Star Trek IV: The Voyage Home,Paramount Pictures
1808,Star Trek IV: The Voyage Home,Industrial Light & Magic (ILM)
1809,Boys Don't Cry,Fox Searchlight Pictures
1809,Boys Don't Cry,The Independent Film Channel Productions
1809,Boys Don't Cry,Killer Films
1810,Sanctum,Universal Pictures
1810,Sanctum,Relativity Media
1810,Sanctum,Wayfare Entertainment
1811,Drishyam,Panorama Studios
1811,Drishyam,Rajkumar Theaters Private Limited
1811,Drishyam,Viacom18 Motion Pictures
1812,Enes Batur,Eren Medya
1813,Just Married,Twentieth Century Fox
1813,Just Married,Robert Simonds Productions
1813,Just Married,Mediastream Dritte Film GmbH & Co. Beteiligungs KG
1814,The Science of Sleep,Partizan Films
1814,The Science of Sleep,Gaumont
1814,The Science of Sleep,France 3 Cinéma
1815,"Paris, je t'aime",Victoires International
1815,"Paris, je t'aime",Pirol Stiftung
1815,"Paris, je t'aime",Canal+
1816,Notorious,RKO Radio Pictures
1816,Notorious,Vanguard Films
1817,High Noon,Stanley Kramer Productions
1818,Andrei Rublev,Mosfilm
1818,Andrei Rublev,Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov
1819,Dracula,Universal Pictures
1820,Tango & Cash,Warner Bros.
1820,Tango & Cash,The Guber-Peters Company
1821,Green Room,Broad Green Pictures
1821,Green Room,Film Science
1822,Europa Report,Wayfare Entertainment
1822,Europa Report,Misher Films
1822,Europa Report,Start Media
1823,The Pacifier,Walt Disney Pictures
1823,The Pacifier,Spyglass Entertainment
1824,The Full Monty,Redwave Films
1824,The Full Monty,Channel Four Films
1824,The Full Monty,Twentieth Century Fox
1825,The Sword in the Stone,Walt Disney Productions
1826,Bajrangi Bhaijaan,Eros Worldwide
1826,Bajrangi Bhaijaan,Eruk Films
1826,Bajrangi Bhaijaan,Kabir Khan Films
1827,Bridget Jones's Baby,Universal Pictures
1827,Bridget Jones's Baby,StudioCanal
1827,Bridget Jones's Baby,Miramax
1828,Blackhat,Forward Pass
1828,Blackhat,Legendary Entertainment
1829,Election,Bona Fide Productions
1829,Election,MTV Films
1829,Election,Paramount Pictures
1830,The Rocketeer,Walt Disney Pictures
1830,The Rocketeer,Touchstone Pictures
1830,The Rocketeer,Silver Screen Partners IV
1831,Going the Distance,New Line Cinema
1831,Going the Distance,Offspring Entertainment
1832,Ma,Blumhouse Productions
1832,Ma,Dentsu
1832,Ma,Fuji Television Network
1833,Bedazzled,Twentieth Century Fox
1833,Bedazzled,New Regency Productions
1833,Bedazzled,KirchMedia
1834,Shanghai Knights,Touchstone Pictures
1834,Shanghai Knights,Spyglass Entertainment
1834,Shanghai Knights,Birnbaum / Barber Productions
1835,Frances Ha,Pine District Pictures
1835,Frances Ha,RT Features
1835,Frances Ha,Scott Rudin Productions
1836,The African Queen,Romulus Films
1836,The African Queen,Horizon Pictures
1837,City of Ember,Playtone
1837,City of Ember,Walden Media
1838,The Last Temptation of Christ,Universal Pictures
1838,The Last Temptation of Christ,Cineplex Odeon Films
1838,The Last Temptation of Christ,Ufland Productions
1839,The Love Guru,Paramount Pictures
1839,The Love Guru,Goldcrest Pictures
1839,The Love Guru,Internationale Filmproduktion Poseidon
1840,Octopussy,United Artists
1840,Octopussy,Eon Productions
1840,Octopussy,Danjaq
1841,The Green Knight,Sailor Bear
1841,The Green Knight,BRON Studios
1841,The Green Knight,A24
1842,Crocodile Dundee,Rimfire Films
1843,"Aguirre, the Wrath of God",Werner Herzog Filmproduktion
1843,"Aguirre, the Wrath of God",Hessischer Rundfunk (HR)
1844,Jack,Hollywood Pictures
1844,Jack,American Zoetrope
1844,Jack,Great Oaks Entertainment
1845,Dangerous Minds,Hollywood Pictures
1845,Dangerous Minds,Don Simpson/Jerry Bruckheimer Films
1845,Dangerous Minds,Via Rosa Productions
1846,Lagaan: Once Upon a Time in India,Aamir Khan Productions
1846,Lagaan: Once Upon a Time in India,Jhamu Sughand Productions
1847,Dara of Jasenovac,Dandelion Production Inc
1847,Dara of Jasenovac,Film Danas
1847,Dara of Jasenovac,Komuna
1848,The Wages of Fear,Compagnie Industrielle et Commerciale Cinématographique (CICC)
1848,The Wages of Fear,Filmsonor
1848,The Wages of Fear,Vera Films
1849,Three Amigos!,L.A. Films
1849,Three Amigos!,Home Box Office (HBO)
1849,Three Amigos!,Broadway Video
1850,High Tension,Alexandre Films
1850,High Tension,EuropaCorp
1851,Daddy's Home 2,Paramount Pictures
1851,Daddy's Home 2,Gary Sanchez Productions
1852,Fool's Gold,Warner Bros.
1852,Fool's Gold,De Line Pictures
1853,Cold War,Opus Film
1853,Cold War,Polski Instytut Sztuki Filmowej
1853,Cold War,MK2 Films
1854,Serpico,Artists Entertainment Complex
1854,Serpico,Produzioni De Laurentiis International Manufacturing Company
1855,Child's Play.1,Orion Pictures
1855,Child's Play.1,BRON Studios
1855,Child's Play.1,KatzSmith Productions
1856,Scooby-Doo,Warner Bros.
1856,Scooby-Doo,Mosaic
1856,Scooby-Doo,Atlas Entertainment
1857,Deliverance,Warner Bros.
1857,Deliverance,Elmer Enterprises
1858,Everything Must Go,Temple Hill Entertainment
1858,Everything Must Go,Cowtown Cinema Ventures
1858,Everything Must Go,Nationlight Productions
1859,What Happened to Monday,Vendome Pictures
1859,What Happened to Monday,Nexus Factory
1859,What Happened to Monday,Raffaella Productions
1860,Patton,Twentieth Century Fox
1861,The Piano,CiBy 2000
1861,The Piano,Jan Chapman Productions
1861,The Piano,The Australian Film Commission
1862,All Quiet on the Western Front,Universal Pictures
1863,Escape Room,Columbia Pictures
1863,Escape Room,Original Film
1863,Escape Room,Department of Trade and Industry of South Africa
1864,His Girl Friday,Columbia Pictures
1865,An American Tail,Universal Pictures
1865,An American Tail,U-Drive Productions
1865,An American Tail,Sullivan Studios
1866,The War of the Roses,Twentieth Century Fox
1866,The War of the Roses,Gracie Films
1866,The War of the Roses,Regency International Pictures
1867,The Sitter,Twentieth Century Fox
1867,The Sitter,Michael De Luca Productions
1867,The Sitter,Rough House Pictures
1868,The Family Stone,The Family Stone
1868,The Family Stone,Fox 2000 Pictures
1868,The Family Stone,Major Studio Partners
1869,Popstar: Never Stop Never Stopping,Universal Pictures
1869,Popstar: Never Stop Never Stopping,Perfect World Pictures
1869,Popstar: Never Stop Never Stopping,Apatow Productions
1870,Hot Shots! Part Deux,Twentieth Century Fox
1871,Live by Night,Appian Way
1871,Live by Night,Pearl Street Films
1871,Live by Night,RatPac-Dune Entertainment
1872,Spenser Confidential,Netflix
1872,Spenser Confidential,Original Film
1872,Spenser Confidential,Closest to the Hole Productions
1873,The Thirteenth Floor,Columbia Pictures
1873,The Thirteenth Floor,Centropolis Film Productions
1874,Friday,New Line Cinema
1874,Friday,Priority Films (I)
1875,A Very Long Engagement,2003 Productions
1875,A Very Long Engagement,Warner Bros.
1875,A Very Long Engagement,Tapioca Films
1876,High School Musical 3: Senior Year,Walt Disney Pictures
1876,High School Musical 3: Senior Year,Borden and Rosenbush Entertainment
1877,Sabotage,Open Road Films (II)
1877,Sabotage,QED International
1877,Sabotage,Crave Films
1878,The Killing,Harris-Kubrick Productions
1879,The Return of the Living Dead,Cinema '84
1879,The Return of the Living Dead,Cinema 84
1879,The Return of the Living Dead,Fox Films
1880,Run All Night,Warner Bros.
1880,Run All Night,RatPac-Dune Entertainment
1880,Run All Night,Vertigo Entertainment
1881,"I, Frankenstein",Hopscotch Features
1881,"I, Frankenstein",Lakeshore Entertainment
1881,"I, Frankenstein",Lionsgate
1882,New Year's Eve,New Line Cinema
1882,New Year's Eve,Rice Films
1882,New Year's Eve,Karz Entertainment
1883,Speed 2: Cruise Control,Blue Tulip Productions
1883,Speed 2: Cruise Control,Twentieth Century Fox
1884,The SpongeBob Movie: Sponge Out of Water,Paramount Animation
1884,The SpongeBob Movie: Sponge Out of Water,Nickelodeon Movies
1884,The SpongeBob Movie: Sponge Out of Water,United Plankton Pictures
1885,Twin Peaks: Fire Walk with Me,New Line Cinema
1885,Twin Peaks: Fire Walk with Me,CiBy 2000
1885,Twin Peaks: Fire Walk with Me,Twin Peaks Productions
1886,How to Lose Friends & Alienate People,Number 9 Films
1886,How to Lose Friends & Alienate People,Film4
1886,How to Lose Friends & Alienate People,Intandem Films
1887,"See No Evil, Hear No Evil",TriStar Pictures
1888,Chennai Express,Red Chillies Entertainment
1888,Chennai Express,Redchillies.VFX
1888,Chennai Express,UTV Motion Pictures
1889,3-Iron,Kim Ki-Duk Film
1889,3-Iron,Cineclick Asia
1889,3-Iron,Happinet Pictures
1890,Wild Things,Mandalay Entertainment
1891,BASEketball,Zucker Brothers Productions
1892,G.I. Jane,Caravan Pictures
1892,G.I. Jane,First Independent Films
1892,G.I. Jane,Hollywood Pictures
1893,Le Samouraï,Compagnie Industrielle et Commerciale Cinématographique (CICC)
1893,Le Samouraï,Fida Cinematografica
1893,Le Samouraï,Filmel
1894,Paper Towns,Fox 2000 Pictures
1894,Paper Towns,Temple Hill Entertainment
1895,Flash Gordon,Starling Films
1895,Flash Gordon,Famous Films (II)
1895,Flash Gordon,Dino De Laurentiis Company
1896,The Jewel of the Nile,SLM Production Group
1896,The Jewel of the Nile,Stone Group Pictures
1896,The Jewel of the Nile,Twentieth Century Fox
1897,Where Eagles Dare,Gershwin-Kastner Productions
1897,Where Eagles Dare,Winkast Film Productions
1898,Scream,Paramount Pictures
1898,Scream,Spyglass Media Group
1898,Scream,Project X Entertainment
1899,The Legend of 1900,Sciarlò
1899,The Legend of 1900,Medusa Film
1900,The Hills Have Eyes,Craven-Maddalena Films
1900,The Hills Have Eyes,Dune Entertainment
1900,The Hills Have Eyes,Major Studio Partners
1901,The Passion of the Christ,Icon Productions
1902,Rambo III,Carolco Pictures
1903,Harold & Kumar Escape from Guantanamo Bay,New Line Cinema
1903,Harold & Kumar Escape from Guantanamo Bay,Kingsgate Films
1903,Harold & Kumar Escape from Guantanamo Bay,Mandate Pictures
1904,Meet the Fockers,Universal Pictures
1904,Meet the Fockers,Dreamworks Pictures
1904,Meet the Fockers,Tribeca Productions
1905,Train to Busan,Next Entertainment World
1905,Train to Busan,RedPeter Film
1905,Train to Busan,Movic Comics
1906,Babe,Universal Pictures
1906,Babe,Kennedy Miller Productions
1907,Captain Phillips,Scott Rudin Productions
1907,Captain Phillips,Michael De Luca Productions
1907,Captain Phillips,Trigger Street Productions
1908,From Hell,Twentieth Century Fox
1908,From Hell,Underworld Entertainment
1909,The Tree of Life,Cottonwood Pictures
1909,The Tree of Life,River Road Entertainment
1909,The Tree of Life,Fox Searchlight Pictures
1910,Brazil,Embassy International Pictures
1911,The 13th Warrior,Touchstone Pictures
1912,True Grit,Paramount Pictures
1912,True Grit,Skydance Media
1912,True Grit,Scott Rudin Productions
1913,The Virgin Suicides,American Zoetrope
1913,The Virgin Suicides,Eternity Pictures
1913,The Virgin Suicides,Muse Productions
1914,Mad Max: Fury Road,Warner Bros.
1914,Mad Max: Fury Road,Village Roadshow Pictures
1914,Mad Max: Fury Road,Kennedy Miller Productions
1915,A Nightmare on Elm Street.1,New Line Cinema
1915,A Nightmare on Elm Street.1,Media Home Entertainment
1915,A Nightmare on Elm Street.1,Smart Egg Pictures
1916,Moneyball,Columbia Pictures
1916,Moneyball,Scott Rudin Productions
1916,Moneyball,Michael De Luca Productions
1917,The Sting,Zanuck/Brown Productions
1917,The Sting,Universal Pictures
1918,Edward Scissorhands,Twentieth Century Fox
1919,Garden State,Camelot Pictures
1919,Garden State,Jersey Films
1919,Garden State,Double Feature Films
1920,A Bronx Tale,Price Entertainment
1920,A Bronx Tale,Penta Entertainment
1920,A Bronx Tale,Tribeca Productions
1921,Ghost in the Shell,Paramount Pictures
1921,Ghost in the Shell,Dreamworks Pictures
1921,Ghost in the Shell,Reliance Entertainment
1922,Blades of Glory,Dreamworks Pictures
1922,Blades of Glory,Red Hour Films
1922,Blades of Glory,Smart Entertainment
1923,Napoleon Dynamite,Fox Searchlight Pictures
1923,Napoleon Dynamite,Paramount Pictures
1923,Napoleon Dynamite,MTV Films
1924,Million Dollar Baby,Warner Bros.
1924,Million Dollar Baby,Lakeshore Entertainment
1924,Million Dollar Baby,Malpaso Productions
1925,Gattaca,Columbia Pictures
1925,Gattaca,Jersey Films
1926,Crank,Lakeshore Entertainment
1926,Crank,Lions Gate Films
1926,Crank,RadicalMedia
1927,The Royal Tenenbaums,Touchstone Pictures
1927,The Royal Tenenbaums,American Empirical Pictures
1928,King Arthur,Touchstone Pictures
1928,King Arthur,Jerry Bruckheimer Films
1928,King Arthur,Green Hills Productions
1929,The Fast and the Furious: Tokyo Drift,Universal Pictures
1929,The Fast and the Furious: Tokyo Drift,Relativity Media
1929,The Fast and the Furious: Tokyo Drift,Original Film
1930,Phantom Thread,Focus Features
1930,Phantom Thread,Annapurna Pictures
1930,Phantom Thread,Perfect World Pictures
1931,Speed,The Mark Gordon Company
1931,Speed,Twentieth Century Fox
1932,Jai Bhim,2D Entertainment
1933,The Blind Side,Alcon Entertainment
1933,The Blind Side,3 Arts Entertainment
1933,The Blind Side,Left Tackle Pictures
1934,Stalker,Mosfilm
1934,Stalker,Vtoroe Tvorcheskoe Obedinenie
1935,8MM,Columbia Pictures
1935,8MM,Hofflund/Polone
1935,8MM,Global Entertainment Productions GmbH & Company Medien KG
1936,Star Wars,Lucasfilm
1936,Star Wars,Twentieth Century Fox
1937,Ghostbusters,Columbia Pictures
1937,Ghostbusters,Delphi Films
1937,Ghostbusters,Black Rhino Productions
1938,Heat,Warner Bros.
1938,Heat,New Regency Productions
1938,Heat,Forward Pass
1939,Pirates of the Caribbean: At World's End,Walt Disney Pictures
1939,Pirates of the Caribbean: At World's End,Jerry Bruckheimer Films
1939,Pirates of the Caribbean: At World's End,Second Mate Productions
1940,The Hitman's Bodyguard,Summit Entertainment
1940,The Hitman's Bodyguard,Millennium Media
1940,The Hitman's Bodyguard,Cristal Pictures
1941,The Untouchables,Paramount Pictures
1942,This Is England,Warp Films
1942,This Is England,Big Arty Productions
1942,This Is England,EM Media
1943,Last Action Hero,Columbia Pictures
1943,Last Action Hero,Oak Productions
1944,Moulin Rouge!,Twentieth Century Fox
1944,Moulin Rouge!,Bazmark Films
1945,The Pursuit of Happyness,Columbia Pictures
1945,The Pursuit of Happyness,Relativity Media
1945,The Pursuit of Happyness,Overbrook Entertainment
1946,The Ballad of Buster Scruggs,Annapurna Pictures
1946,The Ballad of Buster Scruggs,Annapurna Television
1946,The Ballad of Buster Scruggs,Mike Zoss Productions
1947,Love Actually,Universal Pictures
1947,Love Actually,StudioCanal
1947,Love Actually,Working Title Films
1948,Sing,Dentsu
1948,Sing,Fuji Television Network
1948,Sing,Illumination Entertainment
1949,Big Hero 6,FortyFour Studios
1949,Big Hero 6,Walt Disney Animation Studios
1949,Big Hero 6,Walt Disney Pictures
1950,Indiana Jones and the Raiders of the Lost Ark,Paramount Pictures
1950,Indiana Jones and the Raiders of the Lost Ark,Lucasfilm
1951,Blade: Trinity,New Line Cinema
1951,Blade: Trinity,Shawn Danielle Productions Ltd.
1951,Blade: Trinity,Amen Ra Films
1952,The Invisible Guest,Atresmedia Cine
1952,The Invisible Guest,Think Studio
1952,The Invisible Guest,Nostromo Pictures
1953,The Little Mermaid,Walt Disney Pictures
1953,The Little Mermaid,Silver Screen Partners IV
1953,The Little Mermaid,Walt Disney Animation Studios
1954,Night at the Museum: Battle of the Smithsonian,Twentieth Century Fox
1954,Night at the Museum: Battle of the Smithsonian,21 Laps Entertainment
1954,Night at the Museum: Battle of the Smithsonian,1492 Pictures
1955,Dumb and Dumber,New Line Cinema
1955,Dumb and Dumber,Motion Picture Corporation of America (MPCA)
1956,Wedding Crashers,New Line Cinema
1956,Wedding Crashers,Tapestry Films
1956,Wedding Crashers,Avery Pix
1957,Ghost,Paramount Pictures
1957,Ghost,Howard W. Koch Productions
1958,The Mask of Zorro,TriStar Pictures
1958,The Mask of Zorro,Amblin Entertainment
1958,The Mask of Zorro,David Foster Productions
1959,The Fast and the Furious,Universal Pictures
1959,The Fast and the Furious,Original Film
1959,The Fast and the Furious,Mediastream Film GmbH & Co. Productions KG
1960,Braveheart,Icon Entertainment International
1960,Braveheart,The Ladd Company
1960,Braveheart,B.H. Finance C.V.
1961,Jarhead,Universal Pictures
1961,Jarhead,Red Wagon Entertainment
1961,Jarhead,Neal Street Productions
1962,RocknRolla,Warner Bros.
1962,RocknRolla,Dark Castle Entertainment
1962,RocknRolla,Toff Guy Films
1963,Night at the Museum,Twentieth Century Fox
1963,Night at the Museum,Ingenious Film Partners
1963,Night at the Museum,1492 Pictures
1964,Black Mass,Cross Creek Pictures
1964,Black Mass,RatPac-Dune Entertainment
1964,Black Mass,Grisbi Productions
1964,Black Mass,Le
1965,The Butterfly Effect,BenderSpink
1965,The Butterfly Effect,FilmEngine
1965,The Butterfly Effect,Katalyst Films
1966,Falling Down,Alcor Films
1966,Falling Down,Canal+
1966,Falling Down,New Regency Productions
1967,What's Eating Gilbert Grape,Paramount Pictures
1968,The Hobbit: The Battle of the Five Armies,New Line Cinema
1968,The Hobbit: The Battle of the Five Armies,Metro-Goldwyn-Mayer (MGM)
1968,The Hobbit: The Battle of the Five Armies,WingNut Films
1969,RED,Summit Entertainment
1969,RED,Di Bonaventura Pictures
1969,RED,DC Entertainment
1970,The Third Man,London Film Productions
1971,The Prince of Egypt,DreamWorks Animation
1971,The Prince of Egypt,Dreamworks Pictures
1972,Spy Game,Universal Pictures
1972,Spy Game,Beacon Pictures
1972,Spy Game,Kalima Productions GmbH & Co. KG
1973,Fast & Furious,Universal Pictures
1973,Fast & Furious,Relativity Media
1973,Fast & Furious,Original Film
1974,Beauty and the Beast,Mandeville Films
1974,Beauty and the Beast,Walt Disney Pictures
1975,Spider-Man: Homecoming,Columbia Pictures
1975,Spider-Man: Homecoming,LStar Capital
1975,Spider-Man: Homecoming,Marvel Studios
1976,Blow,Apostle
1976,Blow,Avery Pix
1976,Blow,New Line Cinema
1977,Underworld: Awakening,Screen Gems
1977,Underworld: Awakening,Lakeshore Entertainment
1977,Underworld: Awakening,Sketch Films
1978,The Matrix Resurrections,Warner Bros.
1978,The Matrix Resurrections,Village Roadshow Pictures
1978,The Matrix Resurrections,Venus Castina Productions
1979,The Time Machine,Warner Bros.
1979,The Time Machine,Dreamworks Pictures
1979,The Time Machine,Parkes/MacDonald Image Nation
1980,Donnie Brasco,Mandalay Entertainment
1980,Donnie Brasco,Baltimore Pictures
1980,Donnie Brasco,Mark Johnson Productions
1981,Casino Royale,Columbia Pictures
1981,Casino Royale,Eon Productions
1981,Casino Royale,Casino Royale Productions
1982,Godzilla,Centropolis Film Productions
1982,Godzilla,Fried Films
1982,Godzilla,Independent Pictures (II)
1983,Inception,Warner Bros.
1983,Inception,Legendary Entertainment
1983,Inception,Syncopy
1984,The Lake House,Warner Bros.
1984,The Lake House,Village Roadshow Pictures
1984,The Lake House,Vertigo Entertainment
1985,Legend.1,Cross Creek Pictures
1985,Legend.1,Working Title Films
1985,Legend.1,Anton
1986,The Rocky Horror Picture Show,Twentieth Century Fox
1986,The Rocky Horror Picture Show,Michael White Productions
1987,"Monsters, Inc.",Pixar Animation Studios
1987,"Monsters, Inc.",Walt Disney Pictures
1988,Margin Call,Before The Door Pictures
1988,Margin Call,Benaroya Pictures
1988,Margin Call,Washington Square Films
1989,The Great Gatsby,Warner Bros.
1989,The Great Gatsby,Village Roadshow Pictures
1989,The Great Gatsby,A+E Networks
1990,Glass,Buena Vista International
1990,Glass,Universal Pictures
1990,Glass,Blinding Edge Pictures
1991,Warcraft,Legendary Entertainment
1991,Warcraft,Universal Pictures
1991,Warcraft,Atlas Entertainment
1992,John Q,New Line Cinema
1992,John Q,Burg/Koules Productions
1992,John Q,Evolution Entertainment
1993,The Day After Tomorrow,Twentieth Century Fox
1993,The Day After Tomorrow,Centropolis Entertainment
1993,The Day After Tomorrow,Lions Gate Films
1994,2012,Columbia Pictures
1994,2012,Centropolis Entertainment
1994,2012,Farewell Productions
1995,Jaws,Zanuck/Brown Productions
1995,Jaws,Universal Pictures
1996,Radhe,Sohail Khan Production
1996,Radhe,Reel Life Production
1996,Radhe,Salman Khan Films
1997,The Mortal Instruments: City of Bones,Screen Gems
1997,The Mortal Instruments: City of Bones,Constantin Film
1997,The Mortal Instruments: City of Bones,Unique Features
1998,12 Monkeys,Universal Pictures
1998,12 Monkeys,Atlas Entertainment
1998,12 Monkeys,Classico
1999,Fast & Furious Presents: Hobbs & Shaw,Chris Morgan Productions
1999,Fast & Furious Presents: Hobbs & Shaw,Dentsu
1999,Fast & Furious Presents: Hobbs & Shaw,Seven Bucks Productions
2000,Halloween.1,Blumhouse Productions
2000,Halloween.1,Miramax
2000,Halloween.1,Night Blade Holdings
2001,Unstoppable,Twentieth Century Fox
2001,Unstoppable,Prospect Park
2001,Unstoppable,Scott Free Productions
2002,The Last Duel,20th Century Studios
2002,The Last Duel,Pearl Street Films
2002,The Last Duel,Scott Free Productions
2003,National Treasure: Book of Secrets,Walt Disney Pictures
2003,National Treasure: Book of Secrets,Jerry Bruckheimer Films
2003,National Treasure: Book of Secrets,Junction Entertainment
2004,The Intouchables,Quad
2004,The Intouchables,Ten Films
2004,The Intouchables,Canal+
2005,Scary Movie 2,Dimension Films
2005,Scary Movie 2,Wayans Bros. Entertainment
2005,Scary Movie 2,Gold/Miller Productions
2006,The Nun,Atomic Monster
2006,The Nun,New Line Cinema
2006,The Nun,The Safran Company
2007,Princess Mononoke,DENTSU Music And Entertainment
2007,Princess Mononoke,Nibariki
2007,Princess Mononoke,Nippon Television Network (NTV)
2008,The Big Lebowski,Polygram Filmed Entertainment
2008,The Big Lebowski,Working Title Films
2009,Wonder,Lionsgate
2009,Wonder,Participant
2009,Wonder,Walden Media
2010,Coherence,Bellanova Films
2010,Coherence,Ugly Duckling Films
2011,1917,Dreamworks Pictures
2011,1917,Reliance Entertainment
2011,1917,New Republic Pictures
2012,Star Wars: Episode I - The Phantom Menace,Lucasfilm
