,title,genres
1859,What Happened to Monday,Crime
1859,What Happened to Monday,Fantasy
1859,What Happened to Monday,Mystery
1859,What Happened to Monday,Sci-Fi
1859,What Happened to Monday,Thriller
1860,Patton,Biography
1860,Patton,Drama
1860,Patton,War
1861,The Piano,Drama
1861,The Piano,Music
1861,The Piano,Romance
1862,All Quiet on the Western Front,Drama
1862,All Quiet on the Western Front,War
1863,Escape Room,Action
1863,Escape Room,Adventure
1863,Escape Room,Horror
1863,Escape Room,Mystery
1863,Escape Room,Sci-Fi
1863,Escape Room,Thriller
1864,His Girl Friday,Comedy
1864,His Girl Friday,Drama
1864,His Girl Friday,Romance
1865,An American Tail,Animation
1865,An American Tail,Adventure
1865,An American Tail,Comedy
1865,An American Tail,Drama
1865,An American Tail,Family
1865,An American Tail,Musical
1866,The War of the Roses,Comedy
1866,The War of the Roses,Romance
1867,The Sitter,Comedy
1868,The Family Stone,Comedy
1868,The Family Stone,Drama
1868,The Family Stone,Romance
1869,Popstar: Never Stop Never Stopping,Comedy
1869,Popstar: Never Stop Never Stopping,Drama
1869,Popstar: Never Stop Never Stopping,Musical
1870,Hot Shots! Part Deux,Action
1870,Hot Shots! Part Deux,Comedy
1871,Live by Night,Thriller
1872,Spenser Confidential,Action
1872,Spenser Confidential,Drama
1872,Spenser Confidential,Mystery
1872,Spenser Confidential,Thriller
1873,The Thirteenth Floor,Mystery
1873,The Thirteenth Floor,Sci-Fi
1873,The Thirteenth Floor,Thriller
1874,Friday,Comedy
1874,Friday,Drama
1875,A Very Long Engagement,Drama
1875,A Very Long Engagement,Mystery
1875,A Very Long Engagement,Romance
1875,A Very Long Engagement,War
1876,High School Musical 3: Senior Year,Comedy
1876,High School Musical 3: Senior Year,Drama
1876,High School Musical 3: Senior Year,Family
1876,High School Musical 3: Senior Year,Music
1876,High School Musical 3: Senior Year,Musical
1876,High School Musical 3: Senior Year,Romance
1877,Sabotage,Action
1877,Sabotage,Crime
1877,Sabotage,Drama
1877,Sabotage,Thriller
1878,The Killing,Crime
1878,The Killing,Drama
1878,The Killing,Film-Noir
1878,The Killing,Thriller
1879,The Return of the Living Dead,Comedy
1879,The Return of the Living Dead,Horror
1879,The Return of the Living Dead,Sci-Fi
1880,Run All Night,Action
1880,Run All Night,Crime
1880,Run All Night,Thriller
1881,"I, Frankenstein",Action
1881,"I, Frankenstein",Fantasy
1881,"I, Frankenstein",Sci-Fi
1882,New Year's Eve,Comedy
1882,New Year's Eve,Romance
1883,Speed 2: Cruise Control,Action
1883,Speed 2: Cruise Control,Adventure
1883,Speed 2: Cruise Control,Crime
1883,Speed 2: Cruise Control,Romance
1883,Speed 2: Cruise Control,Thriller
1884,The SpongeBob Movie: Sponge Out of Water,Animation
1884,The SpongeBob Movie: Sponge Out of Water,Adventure
1884,The SpongeBob Movie: Sponge Out of Water,Comedy
1884,The SpongeBob Movie: Sponge Out of Water,Family
1884,The SpongeBob Movie: Sponge Out of Water,Fantasy
1885,Twin Peaks: Fire Walk with Me,Drama
1885,Twin Peaks: Fire Walk with Me,Horror
1885,Twin Peaks: Fire Walk with Me,Mystery
1885,Twin Peaks: Fire Walk with Me,Thriller
1886,How to Lose Friends & Alienate People,Biography
1886,How to Lose Friends & Alienate People,Comedy
1886,How to Lose Friends & Alienate People,Drama
1886,How to Lose Friends & Alienate People,Romance
1887,"See No Evil, Hear No Evil",Comedy
1887,"See No Evil, Hear No Evil",Crime
1888,Chennai Express,Action
1888,Chennai Express,Adventure
1888,Chennai Express,Comedy
1888,Chennai Express,Drama
1888,Chennai Express,Romance
1889,3-Iron,Crime
1889,3-Iron,Drama
1889,3-Iron,Romance
1890,Wild Things,Crime
1890,Wild Things,Drama
1890,Wild Things,Mystery
1890,Wild Things,Thriller
1891,BASEketball,Comedy
1891,BASEketball,Sport
1892,G.I. Jane,Action
1892,G.I. Jane,Drama
1892,G.I. Jane,War
1893,Le Samouraï,Crime
1893,Le Samouraï,Drama
1894,Paper Towns,Adventure
1894,Paper Towns,Comedy
1894,Paper Towns,Drama
1894,Paper Towns,Mystery
1894,Paper Towns,Romance
1895,Flash Gordon,Action
1895,Flash Gordon,Adventure
1895,Flash Gordon,Sci-Fi
1896,The Jewel of the Nile,Action
1896,The Jewel of the Nile,Adventure
1896,The Jewel of the Nile,Comedy
1896,The Jewel of the Nile,Romance
1897,Where Eagles Dare,Action
1897,Where Eagles Dare,Adventure
1897,Where Eagles Dare,War
1898,Scream,Horror
1898,Scream,Mystery
1898,Scream,Thriller
1899,The Legend of 1900,Drama
1899,The Legend of 1900,Music
1899,The Legend of 1900,Romance
1900,The Hills Have Eyes,Horror
1900,The Hills Have Eyes,Thriller
1901,The Passion of the Christ,Drama
1902,Rambo III,Action
1902,Rambo III,Adventure
1902,Rambo III,Thriller
1903,Harold & Kumar Escape from Guantanamo Bay,Adventure
1903,Harold & Kumar Escape from Guantanamo Bay,Comedy
1904,Meet the Fockers,Comedy
