web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration,imdb_rating,num_vote,release_date,gross_us_can,gross_opening_weekend,gross_worldwide,Date
1647967520-920,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,https://www.imdb.com/title/tt0311429/?ref_=adv_li_tt,2003,PG-13,1h 50m,5.8,174K,"July 11, 2003 (United States)","$66,465,204 ","$23,075,892 ","$179,265,204 ","July 11, 2003"
1647971049-1672,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Cruella,Cruella,https://www.imdb.com/title/tt3228774/?ref_=adv_li_tt,2021,PG-13,2h 14m,7.4,215K,"May 28, 2021 (United States)","$86,103,234 ","$21,496,997 ","$233,503,234 ","May 28, 2021"
1647964010-192,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Seven Years in Tibet,Seven Years in Tibet,https://www.imdb.com/title/tt0120102/?ref_=adv_li_tt,1997,PG-13,2h 16m,7.1,140K,"January 9, 1998 (Thailand)","$37,957,682 ","$10,020,378 ","$131,457,682 ","January 9, 1998"
1647970497-1555,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Soul,Soul,https://www.imdb.com/title/tt2948372/?ref_=adv_li_tt,2020,PG,1h 40m,8.1,304K,"December 25, 2020 (Thailand)",null,null,"$120,957,731 ","December 25, 2020"
1647965906-575,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Robots,Robots,https://www.imdb.com/title/tt0358082/?ref_=adv_li_tt,2005,PG,1h 31m,6.4,143K,"March 17, 2005 (Thailand)","$128,200,012 ","$36,045,301 ","$262,511,490 ","March 17, 2005"
1647969250-1291,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Looper,Looper,https://www.imdb.com/title/tt1276104/?ref_=adv_li_tt,2012,18,1h 59m,7.4,563K,"October 11, 2012 (Thailand)","$66,486,205 ","$20,801,552 ","$176,506,819 ","October 11, 2012"
1647975378-2598,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",My Sister's Keeper,My Sister's Keeper,https://www.imdb.com/title/tt1078588/?ref_=adv_li_tt,2009,PG-13,1h 49m,7.4,93K,"September 10, 2009 (Thailand)","$49,200,230 ","$12,442,212 ","$95,714,875 ","September 10, 2009"
1647980069-3623,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Unforgivable,The Unforgivable,https://www.imdb.com/title/tt11233960/?ref_=adv_li_tt,2021,R,1h 52m,7.2,98K,"December 10, 2021 (Germany)",null,null,"$13,062 ","December 10, 2021"
1647975060-2528,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Paper Towns,Paper Towns,https://www.imdb.com/title/tt3622592/?ref_=adv_li_tt,2015,13,1h 49m,6.3,101K,"August 27, 2015 (Thailand)","$32,000,304 ","$12,650,140 ","$85,512,300 ","August 27, 2015"
1647967251-861,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Straight Outta Compton,Straight Outta Compton,https://www.imdb.com/title/tt1398426/?ref_=adv_li_tt,2015,18,2h 27m,7.8,196K,"October 22, 2015 (Thailand)","$161,197,785 ","$60,200,180 ","$201,634,991 ","October 22, 2015"
