,title,director
1371,The Five-Year Engagement,Nicholas Stoller
1372,Beethoven,Brian Levant
1373,Candyman.1,Nia DaCosta
1374,Mirror Mirror,Tarsem Singh
1375,I Love You Phillip Morris,Glenn Ficarra
1375,I Love You Phillip Morris,John Requa
1376,John Tucker Must Die,Betty Thomas
1377,21 & Over,Jon Lucas
1377,21 & Over,Scott Moore
1378,2046,Kar-Wai Wong
1379,Say Anything,Cameron Crowe
1380,Field of Dreams,Phil Alden Robinson
1381,Superhero Movie,Craig Mazin
1382,Dirty Rotten Scoundrels,Frank Oz
1383,My Blueberry Nights,Kar-Wai Wong
1384,The Grinch,Yarrow Cheney
1384,The Grinch,Scott Mosier
1385,Rat Race,Jerry Zucker
1386,Gosford Park,Robert Altman
1387,The Skeleton Key,Iain Softley
1388,Your Highness,David Gordon Green
1389,Three Colors: Red,Krzysztof Kieslowski
1390,Last Christmas,Paul Feig
1391,Beasts of the Southern Wild,Benh Zeitlin
1392,The Money Pit,Richard Benjamin
1393,The Snowman,Tomas Alfredson
1394,Benny & Joon,Jeremiah S. Chechik
1395,God Bless America,Bobcat Goldthwait
1396,Allegiant,Robert Schwentke
1397,The New Mutants,Josh Boone
1398,Brightburn,David Yarovesky
1399,Charlie Wilson's War,Mike Nichols
1400,Broken Flowers,Jim Jarmusch
1401,The Aristocats,Wolfgang Reitherman
1402,Mr. Peabody & Sherman,Rob Minkoff
1403,Friday the 13th: The Final Chapter,Joseph Zito
1404,St. Vincent,Theodore Melfi
1405,Black Book,Paul Verhoeven
1406,Disaster Movie,Jason Friedberg
1406,Disaster Movie,Aaron Seltzer
1407,Hardcore Henry,Ilya Naishuller
1408,Children of the Corn,Fritz Kiersch
1409,A Simple Plan,Sam Raimi
1410,The Finest Hours,Craig Gillespie
1411,Mortdecai,David Koepp
1412,Escape from L.A.,John Carpenter
1413,The Heartbreak Kid,Bobby Farrelly
1413,The Heartbreak Kid,Peter Farrelly
1414,The Devil's Double,Lee Tamahori
1415,Triple 9,John Hillcoat
1416,Teen Wolf,Rod Daniel
1417,The Age of Innocence,Martin Scorsese
1418,Made of Honor,Paul Weiland
1419,Machine Gun Preacher,Marc Forster
1420,Double Jeopardy,Bruce Beresford
1421,Not Another Teen Movie,Joel Gallen
1422,The Eagle,Kevin Macdonald
1423,The Girl Who Played with Fire,Daniel Alfredson
1424,The Debt,John Madden
1425,The Devil's Rejects,Rob Zombie
1426,Drinking Buddies,Joe Swanberg
1427,True Story,Rupert Goold
1428,Whatever Works,Woody Allen
1429,Joe Dirt,Dennie Gordon
1430,Wild Strawberries,Ingmar Bergman
1431,The Fox and the Hound,Ted Berman
1431,The Fox and the Hound,Richard Rich
1431,The Fox and the Hound,Art Stevens
1432,Sex and the City 2,Michael Patrick King
1433,Haywire,Steven Soderbergh
1434,To Rome with Love,Woody Allen
1435,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder
1436,Victoria,Sebastian Schipper
1437,Nymphomaniac: Vol. II,Lars von Trier
1438,Cabin Fever,Eli Roth
1439,Hostage,Florent-Emilio Siri
1440,The Kings of Summer,Jordan Vogt-Roberts
1441,Ali G Indahouse,Mark Mylod
1442,Dinosaur,Eric Leighton
1442,Dinosaur,Ralph Zondag
1443,Hannah and Her Sisters,Woody Allen
1444,Flashdance,Adrian Lyne
1445,Just My Luck,Donald Petrie
1446,Behind Enemy Lines,John Moore
1447,Dolemite Is My Name,Craig Brewer
1448,The Ghost and the Darkness,Stephen Hopkins
1449,Elizabeth: The Golden Age,Shekhar Kapur
1450,Monster's Ball,Marc Forster
1451,Mona Lisa Smile,Mike Newell
1452,Scary Movie V,Malcolm D. Lee
1452,Scary Movie V,David Zucker
1453,The Hurricane,Norman Jewison
1454,Nacho Libre,Jared Hess
1455,Repulsion,Roman Polanski
1456,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green
1457,Addams Family Values,Barry Sonnenfeld
1458,The Boondock Saints II: All Saints Day,Brad Davis
1458,The Boondock Saints II: All Saints Day,Troy Duffy
1459,Rent,Chris Columbus
1460,Epic,Chris Wedge
1461,The Replacements,Howard Deutch
1462,Always Be My Maybe,Nahnatchka Khan
1463,The Man Who Shot Liberty Valance,John Ford
1464,Amistad,Steven Spielberg
1465,Crawl,Alexandre Aja
1466,Rendition,Gavin Hood
1467,Conquest 1453,Faruk Aksoy
1468,Stuck on You,Bobby Farrelly
1468,Stuck on You,Peter Farrelly
1469,The Astronaut's Wife,Rand Ravich
1470,Insidious: Chapter 3,Leigh Whannell
1471,Hitman's Wife's Bodyguard,Patrick Hughes
1472,Bringing Up Baby,Howard Hawks
1473,The Condemned,Scott Wiper
1474,The Squid and the Whale,Noah Baumbach
1475,Geostorm,Dean Devlin
1476,Mindhunters,Renny Harlin
1477,The Highwaymen,John Lee Hancock
1478,The Dilemma,Ron Howard
1479,October Sky,Joe Johnston
1480,Old,M. Night Shyamalan
1481,Midnight Special,Jeff Nichols
1482,Halloween II.1,Rick Rosenthal
1483,Chloe,Atom Egoyan
1484,Do the Right Thing,Spike Lee
1485,Best in Show,Christopher Guest
1486,Jab We Met,Imtiaz Ali
1487,Takers,John Luessenhop
1488,The Collector,Marcus Dunstan
1489,Mank,David Fincher
1490,The Big Sleep,Howard Hawks
1491,A Ghost Story,David Lowery
1492,Portrait of a Lady on Fire,Céline Sciamma
1493,The Experiment.1,Paul T. Scheuring
1494,Journey 2: The Mysterious Island,Brad Peyton
1495,U.S. Marshals,Stuart Baird
1496,Patriots Day,Peter Berg
1497,Boss Level,Joe Carnahan
1498,Five Feet Apart,Justin Baldoni
1499,Holes,Andrew Davis
1500,Larry Crowne,Tom Hanks
1501,Land of the Dead,George A. Romero
1502,Don't Say a Word,Gary Fleder
1503,The BFG,Steven Spielberg
1504,Tully,Jason Reitman
1505,National Security,Dennis Dugan
1506,Sex Drive,Sean Anders
1507,F9: The Fast Saga,Justin Lin
1508,Young Guns,Christopher Cain
1509,Drillbit Taylor,Steven Brill
1510,Look Who's Talking,Amy Heckerling
1511,The Crying Game,Neil Jordan
1512,Out of the Furnace,Scott Cooper
1513,Percy Jackson: Sea of Monsters,Thor Freudenthal
1514,The 'Burbs,Joe Dante
1515,The Legend of Hercules,Renny Harlin
1516,Pet Sematary.1,Mary Lambert
1517,Turner & Hooch,Roger Spottiswoode
1518,Outlaw King,David Mackenzie
1519,Porco Rosso,Hayao Miyazaki
1520,Taxi,Gérard Pirès
1521,Frantic,Roman Polanski
1522,Detroit,Kathryn Bigelow
1523,Star Trek V: The Final Frontier,William Shatner
1524,Andhadhun,Sriram Raghavan
1525,The One,James Wong
1526,The Christmas Chronicles,Clay Kaytis
1527,Bride Wars,Gary Winick
1528,Touch of Evil,Orson Welles
1529,Music and Lyrics,Marc Lawrence
1530,WarGames,John Badham
1531,Bull Durham,Ron Shelton
1532,The Gambler,Rupert Wyatt
1533,[Rec]²,Jaume Balagueró
1533,[Rec]²,Paco Plaza
1534,Jab Tak Hai Jaan,Yash Chopra
1535,Precious,Lee Daniels
1536,You Were Never Really Here,Lynne Ramsay
1537,Confessions of a Shopaholic,P.J. Hogan
1538,Elizabeth,Shekhar Kapur
1539,Willow,Ron Howard
1540,Jason X,James Isaac
1541,Alpha,Albert Hughes
1542,Step Up.1,Anne Fletcher
1543,The Color Purple,Steven Spielberg
1544,Sliding Doors,Peter Howitt
1545,City Slickers,Ron Underwood
1546,In Good Company,Paul Weitz
1547,Finding Forrester,Gus Van Sant
1548,Wet Hot American Summer,David Wain
1549,Red Lights,Rodrigo Cortés
1550,Van Wilder,Walt Becker
1551,The Blue Lagoon,Randal Kleiser
1552,To Catch a Thief,Alfred Hitchcock
1553,The Three Musketeers.1,Stephen Herek
1554,The Human Centipede (First Sequence),Tom Six
1555,My Left Foot,Jim Sheridan
1556,Arsenic and Old Lace,Frank Capra
1557,Killers,Robert Luketic
1558,Fractured,Brad Anderson
1559,Wild at Heart,David Lynch
1560,The Water Diviner,Russell Crowe
1561,Before I Go to Sleep,Rowan Joffe
1562,Red Riding Hood,Catherine Hardwicke
1563,Timecop,Peter Hyams
1564,Blast from the Past,Hugh Wilson
1565,When in Rome,Mark Steven Johnson
1566,Great Expectations,Alfonso Cuarón
1567,Darkman,Sam Raimi
1568,Hitchcock,Sacha Gervasi
1569,Black Snake Moan,Craig Brewer
1570,Monsters,Gareth Edwards
1571,Hunger,Steve McQueen
1572,The Whole Ten Yards,Howard Deutch
1573,The Bling Ring,Sofia Coppola
1574,Naked Lunch,David Cronenberg
1575,The Incredible Burt Wonderstone,Don Scardino
1576,The French Connection,William Friedkin
1577,Uri: The Surgical Strike,Aditya Dhar
1578,The Man Who Wasn't There,Joel Coen
1579,'71,Yann Demange
1580,Capernaum,Nadine Labaki
1581,Brooklyn's Finest,Antoine Fuqua
1582,Breaking the Waves,Lars von Trier
1583,The Sea Inside,Alejandro Amenábar
1584,In Her Shoes,Curtis Hanson
1585,The Weather Man,Gore Verbinski
1586,Risky Business,Paul Brickman
1587,Race to Witch Mountain,Andy Fickman
1588,It Comes at Night,Trey Edward Shults
1589,ParaNorman,Chris Butler
1589,ParaNorman,Sam Fell
1590,Grave Encounters,Colin Minihan
1590,Grave Encounters,Stuart Ortiz
1590,Grave Encounters,The Vicious Brothers
1591,The Pelican Brief,Alan J. Pakula
1592,Three Men and a Baby,Leonard Nimoy
1593,The Fundamentals of Caring,Rob Burnett
1594,The First Time,Jonathan Kasdan
1595,Marighella,Wagner Moura
1596,Beginners,Mike Mills
1597,Without Remorse,Stefano Sollima
1598,Strange Days,Kathryn Bigelow
1599,Just Friends,Roger Kumble
1600,The November Man,Roger Donaldson
1601,The Brothers Grimsby,Louis Leterrier
1602,Johnny Mnemonic,Robert Longo
1603,Charade,Stanley Donen
1604,The 5th Wave,J Blakeson
1605,District B13,Pierre Morel
1606,Cheaper by the Dozen,Shawn Levy
1607,Child 44,Daniel Espinosa
1608,A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder
1609,Den of Thieves,Christian Gudegast
1610,The Iron Lady,Phyllida Lloyd
1611,Saturday Night Fever,John Badham
1612,Sing Street,John Carney
1613,Papillon,Michael Noer
1614,Goon,Michael Dowse
1615,Woman in Gold,Simon Curtis
1616,Who's Afraid of Virginia Woolf?,Mike Nichols
1617,Richie Rich,Donald Petrie
1618,Hudson Hawk,Michael Lehmann
1619,The Diving Bell and the Butterfly,Julian Schnabel
1620,The Girl Who Leapt Through Time,Mamoru Hosoda
1621,Scary Movie 4,David Zucker
1622,The Circle,James Ponsoldt
1623,Fish Tank,Andrea Arnold
1624,Spawn,Mark A.Z. Dippé
1625,Paterson,Jim Jarmusch
1626,Dead Silence,James Wan
1627,Teenage Mutant Ninja Turtles,Steve Barron
1628,Windtalkers,John Woo
1629,Loving Vincent,Dorota Kobiela
1629,Loving Vincent,Hugh Welchman
1630,Lockout,James Mather
1630,Lockout,Steve Saint Leger
1631,Species,Roger Donaldson
1632,The Hot Chick,Tom Brady
1633,Death at a Funeral,Frank Oz
1634,The Triplets of Belleville,Sylvain Chomet
1635,Holidate,John Whitesell
1636,Broken Arrow,John Woo
1637,Swingers,Doug Liman
1638,Amour,Michael Haneke
1639,In the Tall Grass,Vincenzo Natali
1640,Final Fantasy VII: Advent Children,Tetsuya Nomura
1640,Final Fantasy VII: Advent Children,Takeshi Nozue
1641,DragonHeart,Rob Cohen
1642,Red Dawn.1,John Milius
1643,Skyline,Colin Strause
1643,Skyline,Greg Strause
1644,Poltergeist,Gil Kenan
1645,The Craft,Andrew Fleming
1646,The Wedding Planner,Adam Shankman
1647,Ultraviolet,Kurt Wimmer
1648,Only God Forgives,Nicolas Winding Refn
1649,Barfi!,Anurag Basu
1650,The Big Blue,Luc Besson
1651,The X Files: I Want to Believe,Chris Carter
1652,Paprika,Satoshi Kon
1653,Bring It On,Peyton Reed
1654,Safe Haven,Lasse Hallström
1655,Black Rain,Ridley Scott
1656,Long Shot,Jonathan Levine
1657,Super Troopers,Jay Chandrasekhar
1658,Frozen,Adam Green
1659,Colonia,Florian Gallenberger
1660,Gothika,Mathieu Kassovitz
1661,The Lookout,Scott Frank
1662,Eraserhead,David Lynch
1663,The Invasion,Oliver Hirschbiegel
1663,The Invasion,James McTeigue
1664,Before I Fall,Ry Russo-Young
1665,Attack the Block,Joe Cornish
1666,Whisper of the Heart,Yoshifumi Kondô
1667,Letters to Juliet,Gary Winick
1668,My Bloody Valentine,Patrick Lussier
1669,The Girl Who Kicked the Hornet's Nest,Daniel Alfredson
1670,The Remains of the Day,James Ivory
1671,Cashback,Sean Ellis
1672,Burning,Lee Chang-dong
1673,The American,Anton Corbijn
1674,Meet the Robinsons,Stephen J. Anderson
1675,xXx: Return of Xander Cage,D.J. Caruso
1676,Trollhunter,André Øvredal
1677,Treasure Planet,Ron Clements
1677,Treasure Planet,John Musker
1678,A League of Their Own,Penny Marshall
1679,Swades,Ashutosh Gowariker
1680,The Game Plan,Andy Fickman
1681,America's Sweethearts,Joe Roth
1682,Dark Water,Walter Salles
1683,The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman
1684,OMG: Oh My God!,Umesh Shukla
1685,United 93,Paul Greengrass
1686,The Santa Clause,John Pasquin
1687,Money Monster,Jodie Foster
1688,Kingpin,Bobby Farrelly
1688,Kingpin,Peter Farrelly
1689,To All the Boys I've Loved Before,Susan Johnson
1690,The Signal,William Eubank
1691,The Mountain Between Us,Hany Abu-Assad
1692,The Legend of Bagger Vance,Robert Redford
1693,Miracle,Gavin O'Connor
1694,Soldier,Paul W.S. Anderson
1695,A Perfect Murder,Andrew Davis
1696,Be Cool,F. Gary Gray
1697,Quarantine,John Erick Dowdle
1698,Darbareye Elly,Asghar Farhadi
1699,Stealth,Rob Cohen
1700,The Piano Teacher,Michael Haneke
1701,Star Trek: Generations,David Carson
1702,The Great Beauty,Paolo Sorrentino
1703,Red Heat,Walter Hill
1704,I Heart Huckabees,David O. Russell
1705,Copycat,Jon Amiel
1706,Nine Queens,Fabián Bielinsky
1707,Pushpa: The Rise - Part 1,Sukumar
1708,Becoming Jane,Julian Jarrold
1709,Maid in Manhattan,Wayne Wang
1710,The Rescuers,John Lounsbery
1710,The Rescuers,Wolfgang Reitherman
1710,The Rescuers,Art Stevens
1711,Rock of Ages,Adam Shankman
1712,Analyze That,Harold Ramis
1713,Bowfinger,Frank Oz
1714,The Meaning of Life,Terry Jones
1714,The Meaning of Life,Terry Gilliam
1715,The Devil's Backbone,Guillermo del Toro
1716,Breach,Billy Ray
1717,Hunter Killer,Donovan Marsh
1718,The Salesman,Asghar Farhadi
1719,The Chorus,Christophe Barratier
1720,The Rite,Mikael Håfström
1721,Domino,Tony Scott
1722,Run,Aneesh Chaganty
1723,Never Been Kissed,Raja Gosnell
1724,Righteous Kill,Jon Avnet
1725,Frequency,Gregory Hoblit
1726,LOL,Lisa Azuelos
1727,The Lorax,Chris Renaud
1727,The Lorax,Kyle Balda
1728,What About Bob?,Frank Oz
1729,U-571,Jonathan Mostow
1730,My Sister's Keeper,Nick Cassavetes
1731,The Midnight Meat Train,Ryûhei Kitamura
1732,The Words,Brian Klugman
1732,The Words,Lee Sternthal
1733,Serendipity,Peter Chelsom
1734,Mike and Dave Need Wedding Dates,Jake Szymanski
1735,Lost in Space,Stephen Hopkins
1736,Major League,David S. Ward
1737,Beautiful Boy,Felix van Groeningen
1738,Sweet November,Pat O'Connor
1739,A Good Year,Ridley Scott
1740,Haider,Vishal Bhardwaj
1741,Nanny McPhee,Kirk Jones
1742,Chernobyl Diaries,Bradley Parker
1743,The Call,Brad Anderson
1744,What Dreams May Come,Vincent Ward
1745,Mr. Smith Goes to Washington,Frank Capra
1746,The Jackal,Michael Caton-Jones
1747,Ghost Rider: Spirit of Vengeance,Mark Neveldine
1747,Ghost Rider: Spirit of Vengeance,Brian Taylor
1748,Cocoon,Ron Howard
1749,The Karate Kid Part III,John G. Avildsen
1750,Animal Kingdom,David Michôd
1751,Solomon Kane,M.J. Bassett
1752,Cannibal Holocaust,Ruggero Deodato
1753,Scanners,David Cronenberg
1754,Control,Anton Corbijn
1755,Agora,Alejandro Amenábar
1756,No Escape,John Erick Dowdle
1757,Wings of Desire,Wim Wenders
1758,Halloween 4: The Return of Michael Myers,Dwight H. Little
1759,Robot & Frank,Jake Schreier
1760,Filth,Jon S. Baird
1761,Bean,Mel Smith
1762,The Dreamers,Bernardo Bertolucci
1763,The Iceman,Ariel Vromen
1764,42,Brian Helgeland
1765,Felon,Ric Roman Waugh
1766,Raw,Julia Ducournau
1767,Get Shorty,Barry Sonnenfeld
1768,The Core,Jon Amiel
1769,Dream House,Jim Sheridan
1770,The Ten Commandments,Cecil B. DeMille
1771,Midnight Cowboy,John Schlesinger
1772,Peppermint,Pierre Morel
1773,Epic Movie,Jason Friedberg
1773,Epic Movie,Aaron Seltzer
1774,Cats & Dogs,Lawrence Guterman
1775,Hitman: Agent 47,Aleksander Bach
1776,The Square,Ruben Östlund
1777,Anna Karenina,Joe Wright
1778,American Assassin,Michael Cuesta
1779,The Adam Project,Shawn Levy
1780,Baby,Neeraj Pandey
1781,Harsh Times,David Ayer
1782,Stuart Little 2,Rob Minkoff
1783,Fried Green Tomatoes,Jon Avnet
1784,Breakdown,Jonathan Mostow
1785,Gold,Stephen Gaghan
1786,Session 9,Brad Anderson
1787,Shaft.1,Tim Story
1788,Pride and Prejudice and Zombies,Burr Steers
1789,Flight of the Phoenix,John Moore
1790,Alvin and the Chipmunks,Tim Hill
1791,The Good Shepherd,Robert De Niro
1792,Pee-wee's Big Adventure,Tim Burton
1793,eXistenZ,David Cronenberg
1794,The Dead Zone,David Cronenberg
1795,Frost/Nixon,Ron Howard
1796,Pan,Joe Wright
1797,The Angry Birds Movie,Clay Kaytis
1797,The Angry Birds Movie,Fergal Reilly
1798,Young Adult,Jason Reitman
1799,Harold and Maude,Hal Ashby
1800,Semi-Pro,Kent Alterman
1801,Road House,Rowdy Herrington
1802,A Monster Calls,J.A. Bayona
1803,Enough Said,Nicole Holofcener
1804,Thirteen,Catherine Hardwicke
1805,The Best Years of Our Lives,William Wyler
1806,That Thing You Do!,Tom Hanks
1807,Beautiful Creatures,Richard LaGravenese
1808,Star Trek IV: The Voyage Home,Leonard Nimoy
1809,Boys Don't Cry,Kimberly Peirce
1810,Sanctum,Alister Grierson
1811,Drishyam,Nishikant Kamat
1812,Enes Batur,Kamil Cetin
1813,Just Married,Shawn Levy
1814,The Science of Sleep,Michel Gondry
1815,"Paris, je t'aime",Olivier Assayas
1815,"Paris, je t'aime",Frédéric Auburtin
1815,"Paris, je t'aime",Gurinder Chadha
1816,Notorious,Alfred Hitchcock
1817,High Noon,Fred Zinnemann
1818,Andrei Rublev,Andrei Tarkovsky
1819,Dracula,Tod Browning
1819,Dracula,Karl Freund
1820,Tango & Cash,Andrey Konchalovskiy
1820,Tango & Cash,Albert Magnoli
1821,Green Room,Jeremy Saulnier
1822,Europa Report,Sebastián Cordero
1823,The Pacifier,Adam Shankman
1824,The Full Monty,Peter Cattaneo
1825,The Sword in the Stone,Wolfgang Reitherman
1825,The Sword in the Stone,Clyde Geronimi
1825,The Sword in the Stone,David Hand
1826,Bajrangi Bhaijaan,Kabir Khan
1827,Bridget Jones's Baby,Sharon Maguire
1828,Blackhat,Michael Mann
1829,Election,Alexander Payne
1830,The Rocketeer,Joe Johnston
1831,Going the Distance,Nanette Burstein
1832,Ma,Tate Taylor
1833,Bedazzled,Harold Ramis
1834,Shanghai Knights,David Dobkin
1835,Frances Ha,Noah Baumbach
1836,The African Queen,John Huston
1837,City of Ember,Gil Kenan
1838,The Last Temptation of Christ,Martin Scorsese
1839,The Love Guru,Marco Schnabel
1840,Octopussy,John Glen
1841,The Green Knight,David Lowery
1842,Crocodile Dundee,Peter Faiman
1843,"Aguirre, the Wrath of God",Werner Herzog
1844,Jack,Francis Ford Coppola
1845,Dangerous Minds,John N. Smith
1846,Lagaan: Once Upon a Time in India,Ashutosh Gowariker
1847,Dara of Jasenovac,Predrag Antonijevic
1848,The Wages of Fear,Henri-Georges Clouzot
1849,Three Amigos!,John Landis
1850,High Tension,Alexandre Aja
1851,Daddy's Home 2,Sean Anders
1852,Fool's Gold,Andy Tennant
1853,Cold War,Pawel Pawlikowski
1854,Serpico,Sidney Lumet
1855,Child's Play.1,Lars Klevberg
1856,Scooby-Doo,Raja Gosnell
1857,Deliverance,John Boorman
1858,Everything Must Go,Dan Rush
1859,What Happened to Monday,Tommy Wirkola
1860,Patton,Franklin J. Schaffner
1861,The Piano,Jane Campion
1862,All Quiet on the Western Front,Lewis Milestone
1863,Escape Room,Adam Robitel
1864,His Girl Friday,Howard Hawks
1865,An American Tail,Don Bluth
1866,The War of the Roses,Danny DeVito
1867,The Sitter,David Gordon Green
1868,The Family Stone,Thomas Bezucha
1869,Popstar: Never Stop Never Stopping,Akiva Schaffer
1869,Popstar: Never Stop Never Stopping,Jorma Taccone
1870,Hot Shots! Part Deux,Jim Abrahams
1871,Live by Night,Ben Affleck
1872,Spenser Confidential,Peter Berg
1873,The Thirteenth Floor,Josef Rusnak
1874,Friday,F. Gary Gray
1875,A Very Long Engagement,Jean-Pierre Jeunet
1876,High School Musical 3: Senior Year,Kenny Ortega
1877,Sabotage,David Ayer
1878,The Killing,Stanley Kubrick
1879,The Return of the Living Dead,Dan O'Bannon
1880,Run All Night,Jaume Collet-Serra
1881,"I, Frankenstein",Stuart Beattie
1882,New Year's Eve,Garry Marshall
1883,Speed 2: Cruise Control,Jan de Bont
1884,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt
1884,The SpongeBob Movie: Sponge Out of Water,Mike Mitchell
1885,Twin Peaks: Fire Walk with Me,David Lynch
1886,How to Lose Friends & Alienate People,Robert B. Weide
1887,"See No Evil, Hear No Evil",Arthur Hiller
1888,Chennai Express,Rohit Shetty
1889,3-Iron,Kim Ki-duk
1890,Wild Things,John McNaughton
1891,BASEketball,David Zucker
1892,G.I. Jane,Ridley Scott
1893,Le Samouraï,Jean-Pierre Melville
1894,Paper Towns,Jake Schreier
1895,Flash Gordon,Mike Hodges
1896,The Jewel of the Nile,Lewis Teague
1897,Where Eagles Dare,Brian G. Hutton
1898,Scream,Matt Bettinelli-Olpin
1898,Scream,Tyler Gillett
1899,The Legend of 1900,Giuseppe Tornatore
1900,The Hills Have Eyes,Alexandre Aja
1901,The Passion of the Christ,Mel Gibson
1902,Rambo III,Peter MacDonald
1903,Harold & Kumar Escape from Guantanamo Bay,Jon Hurwitz
1903,Harold & Kumar Escape from Guantanamo Bay,Hayden Schlossberg
1904,Meet the Fockers,Jay Roach
1905,Train to Busan,Sang-ho Yeon
1906,Babe,Chris Noonan
1907,Captain Phillips,Paul Greengrass
1908,From Hell,Albert Hughes
1908,From Hell,Allen Hughes
1909,The Tree of Life,Terrence Malick
1910,Brazil,Terry Gilliam
1911,The 13th Warrior,John McTiernan
1911,The 13th Warrior,Michael Crichton
1912,True Grit,Ethan Coen
1912,True Grit,Joel Coen
1913,The Virgin Suicides,Sofia Coppola
1914,Mad Max: Fury Road,George Miller
1915,A Nightmare on Elm Street.1,Wes Craven
1916,Moneyball,Bennett Miller
1917,The Sting,George Roy Hill
1918,Edward Scissorhands,Tim Burton
1919,Garden State,Zach Braff
1920,A Bronx Tale,Robert De Niro
1921,Ghost in the Shell,Rupert Sanders
1922,Blades of Glory,Josh Gordon
1922,Blades of Glory,Will Speck
1923,Napoleon Dynamite,Jared Hess
1924,Million Dollar Baby,Clint Eastwood
1925,Gattaca,Andrew Niccol
1926,Crank,Mark Neveldine
1926,Crank,Brian Taylor
1927,The Royal Tenenbaums,Wes Anderson
1928,King Arthur,Antoine Fuqua
1929,The Fast and the Furious: Tokyo Drift,Justin Lin
1930,Phantom Thread,Paul Thomas Anderson
1931,Speed,Jan de Bont
1932,Jai Bhim,T.J. Gnanavel
1933,The Blind Side,John Lee Hancock
1934,Stalker,Andrei Tarkovsky
1935,8MM,Joel Schumacher
1936,Star Wars,George Lucas
1937,Ghostbusters,Ivan Reitman
1938,Heat,Michael Mann
1939,Pirates of the Caribbean: At World's End,Gore Verbinski
1940,The Hitman's Bodyguard,Patrick Hughes
1941,The Untouchables,Brian De Palma
1942,This Is England,Shane Meadows
1943,Last Action Hero,John McTiernan
1944,Moulin Rouge!,Baz Luhrmann
1945,The Pursuit of Happyness,Gabriele Muccino
1946,The Ballad of Buster Scruggs,Ethan Coen
1946,The Ballad of Buster Scruggs,Joel Coen
1947,Love Actually,Richard Curtis
1948,Sing,Garth Jennings
1948,Sing,Christophe Lourdelet
1949,Big Hero 6,Don Hall
1949,Big Hero 6,Chris Williams
1950,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg
1951,Blade: Trinity,David S. Goyer
1952,The Invisible Guest,Oriol Paulo
1953,The Little Mermaid,Ron Clements
1953,The Little Mermaid,John Musker
1954,Night at the Museum: Battle of the Smithsonian,Shawn Levy
1955,Dumb and Dumber,Peter Farrelly
1955,Dumb and Dumber,Bobby Farrelly
1956,Wedding Crashers,David Dobkin
1957,Ghost,Jerry Zucker
1958,The Mask of Zorro,Martin Campbell
1959,The Fast and the Furious,Rob Cohen
1960,Braveheart,Mel Gibson
1961,Jarhead,Sam Mendes
1962,RocknRolla,Guy Ritchie
1963,Night at the Museum,Shawn Levy
1964,Black Mass,Scott Cooper
1965,The Butterfly Effect,Eric Bress
1965,The Butterfly Effect,J. Mackye Gruber
1966,Falling Down,Joel Schumacher
1967,What's Eating Gilbert Grape,Lasse Hallström
1968,The Hobbit: The Battle of the Five Armies,Peter Jackson
1969,RED,Robert Schwentke
1970,The Third Man,Carol Reed
1971,The Prince of Egypt,Brenda Chapman
1971,The Prince of Egypt,Steve Hickner
1971,The Prince of Egypt,Simon Wells
1972,Spy Game,Tony Scott
1973,Fast & Furious,Justin Lin
1974,Beauty and the Beast,Bill Condon
1975,Spider-Man: Homecoming,Jon Watts
1976,Blow,Ted Demme
1977,Underworld: Awakening,Måns Mårlind
1977,Underworld: Awakening,Björn Stein
1978,The Matrix Resurrections,Lana Wachowski
1979,The Time Machine,Simon Wells
1980,Donnie Brasco,Mike Newell
1981,Casino Royale,Martin Campbell
1982,Godzilla,Roland Emmerich
1983,Inception,Christopher Nolan
1984,The Lake House,Alejandro Agresti
1985,Legend.1,Brian Helgeland
1986,The Rocky Horror Picture Show,Jim Sharman
1987,"Monsters, Inc.",Pete Docter
1987,"Monsters, Inc.",David Silverman
1987,"Monsters, Inc.",Lee Unkrich
1988,Margin Call,J.C. Chandor
1989,The Great Gatsby,Baz Luhrmann
1990,Glass,M. Night Shyamalan
1991,Warcraft,Duncan Jones
1992,John Q,Nick Cassavetes
1993,The Day After Tomorrow,Roland Emmerich
1994,2012,Roland Emmerich
1995,Jaws,Steven Spielberg
1996,Radhe,Prabhu Deva
1997,The Mortal Instruments: City of Bones,Harald Zwart
1998,12 Monkeys,Terry Gilliam
1999,Fast & Furious Presents: Hobbs & Shaw,David Leitch
2000,Halloween.1,David Gordon Green
2001,Unstoppable,Tony Scott
2002,The Last Duel,Ridley Scott
2003,National Treasure: Book of Secrets,Jon Turteltaub
2004,The Intouchables,Olivier Nakache
2004,The Intouchables,Éric Toledano
2005,Scary Movie 2,Keenen Ivory Wayans
2006,The Nun,Corin Hardy
2007,Princess Mononoke,Hayao Miyazaki
2008,The Big Lebowski,Joel Coen
2008,The Big Lebowski,Ethan Coen
2009,Wonder,Stephen Chbosky
2010,Coherence,James Ward Byrkit
2011,1917,Sam Mendes
2012,Star Wars: Episode I - The Phantom Menace,George Lucas
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Steve Box
2013,Wallace & Gromit: The Curse of the Were-Rabbit,Nick Park
2014,"Dude, Where's My Car?",Danny Leiner
