title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Carrie,Horror,16-11-76,16,11,1976,98,Certified-Fresh,93,67,Upright,77,353052,13,62,5
Casablanca,"Classics, Drama, Romance",26-11-42,26,11,1942,102,Certified-Fresh,99,92,Upright,95,357518,23,91,1
Casino Royale,"Action & Adventure, Classics, Comedy",27-04-67,27,04,1967,131,Rotten,25,40,Spilled,34,33192,8,10,30
The Cat and the Canary,"Classics, Horror, Mystery & Suspense",09-09-27,09,09,1927,75,Fresh,94,16,Upright,74,1155,8,24,1
Cat on a Hot Tin Roof,"Classics, Drama",20-09-58,20,09,1958,,Fresh,97,37,Upright,92,31748,5,36,1
Cat People,"Drama, Horror, Romance",06-12-42,06,12,1942,73,Certified-Fresh,95,56,Upright,73,7786,6,53,3
Cat People,"Drama, Horror, Mystery & Suspense",02-04-82,02,04,1982,118,Fresh,61,46,Spilled,46,10352,7,28,18
Caught,"Classics, Drama, Mystery & Suspense",01-01-49,01,01,1949,88,Fresh,100,8,Upright,78,515,0,8,0
The Champ,"Drama, Sports & Fitness",20-03-79,20,03,1979,122,Rotten,36,22,Upright,82,7711,5,8,14
Champion,"Classics, Drama",01-01-49,01,01,1949,99,Fresh,93,14,Upright,74,734,5,13,1
Charade,"Classics, Comedy, Drama, Mystery & Suspense",05-12-63,05,12,1963,114,Certified-Fresh,94,49,Upright,92,42886,9,46,3
Charlotte's Web,"Animation, Kids & Family",22-02-73,22,02,1973,93,Fresh,77,22,Upright,67,227184,1,17,5
The Chase,"Classics, Drama",17-02-66,17,02,1966,135,Fresh,89,9,Upright,74,2775,0,8,1
Checking Out,Comedy,21-04-89,21,04,1989,95,Rotten,20,5,Spilled,18,129,1,1,4
Children of the Corn,"Cult Movies, Horror, Mystery & Suspense",01-01-84,01,01,1984,93,Rotten,35,26,Spilled,40,84960,0,9,17
The Chosen,Drama,01-08-81,01,08,1981,108,Fresh,75,12,Upright,79,895,5,9,3
A Christmas Carol,"Classics, Drama, Kids & Family, Science Fiction & Fantasy",16-12-38,16,12,1938,69,Fresh,100,13,Upright,74,56572,0,13,0
Christmas in Connecticut,"Classics, Comedy",01-01-45,01,01,1945,101,Fresh,88,17,Upright,75,3731,3,15,2
A Christmas Story,"Comedy, Drama, Kids & Family",18-11-83,18,11,1983,93,Certified-Fresh,89,57,Upright,88,285828,7,51,6
Cimarron,"Classics, Drama, Western",26-01-31,26,01,1931,131,Rotten,50,24,Spilled,25,1514,6,12,12
Cleopatra,"Classics, Drama",12-06-63,12,06,1963,243,Fresh,62,39,Upright,69,20541,10,24,15
College,"Classics, Comedy, Romance",10-09-27,10,09,1927,65,Fresh,89,19,Upright,73,2356,4,17,2
Colors,"Action & Adventure, Drama",15-04-88,15,04,1988,120,Fresh,82,34,Upright,72,28445,7,28,6
Coma,"Action & Adventure, Mystery & Suspense",06-01-78,06,01,1978,113,Fresh,81,26,Upright,66,7692,5,21,5
Commando,Action & Adventure,04-10-85,04,10,1985,90,Fresh,71,34,Upright,67,138190,4,24,10
Convoy,"Action & Adventure, Drama",28-06-78,28,06,1978,110,Rotten,43,14,Upright,73,9476,3,6,8
Countdown,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy",01-02-68,01,02,1968,101,Fresh,67,6,Spilled,27,252,1,4,2
The Country Girl,"Classics, Drama",15-12-54,15,12,1954,104,Fresh,86,7,Upright,77,3106,0,6,1
Cover Girl,"Classics, Comedy, Musical & Performing Arts, Romance",30-03-44,30,03,1944,107,Fresh,95,19,Upright,70,3774,4,18,1
Creature from the Black Lagoon,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",05-03-54,05,03,1954,79,Certified-Fresh,79,42,Upright,73,23626,5,33,9
Crossroads,Drama,14-03-86,14,03,1986,98,Fresh,73,15,Upright,82,10497,2,11,4
Cutting Class,"Comedy, Drama, Horror",01-07-89,01,07,1989,90,Rotten,25,8,Spilled,22,3807,0,2,6
Damn Yankees,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy",26-09-58,26,09,1958,110,Fresh,76,17,Upright,69,2832,5,13,4
Dangerous,"Classics, Drama",01-01-35,01,01,1935,78,Fresh,83,6,Upright,61,694,0,5,1
Dangerous Liaisons,Drama,01-01-88,01,01,1988,120,Fresh,93,30,Upright,83,46589,8,28,2
The Dark Mirror,"Drama, Mystery & Suspense",18-10-46,18,10,1946,85,Fresh,71,7,Spilled,56,318,1,5,2
Darling,"Art House & International, Classics, Comedy, Drama, Romance",01-01-65,01,01,1965,128,Fresh,67,18,Upright,71,2184,3,12,6
Day of the Dead,Horror,03-07-85,03,07,1985,102,Fresh,81,37,Upright,75,64544,3,30,7
The Day the Earth Stood Still,"Classics, Drama, Science Fiction & Fantasy",01-01-51,01,01,1951,92,Certified-Fresh,95,56,Upright,87,34260,6,53,3
Days of Wine and Roses,"Classics, Drama",26-12-62,26,12,1962,117,Fresh,100,12,Upright,88,2553,1,12,0
Dead Heat,"Action & Adventure, Comedy, Horror, Mystery & Suspense",06-05-88,06,05,1988,88,Rotten,11,9,Spilled,49,6206,3,1,8
Dead Reckoning,"Classics, Drama, Mystery & Suspense",01-01-47,01,01,1947,100,Fresh,67,6,Upright,66,2006,0,4,2
Death in Venice,Drama,01-03-71,01,03,1971,130,Fresh,71,24,Upright,81,6409,4,17,7
Death of a Salesman,"Drama, Television",15-09-85,15,09,1985,135,Fresh,100,8,Upright,75,4590,0,8,0
Dèmoni (Demons),"Art House & International, Horror",04-10-85,04,10,1985,90,Fresh,60,10,Upright,65,10395,0,6,4
The Desperate Hours,"Classics, Drama, Mystery & Suspense",01-01-55,01,01,1955,112,Fresh,86,7,Upright,79,2792,0,6,1
Devil Doll,"Classics, Horror",01-01-64,01,01,1964,80,Rotten,20,5,Spilled,28,536,0,1,4
Dillinger,"Action & Adventure, Drama, Mystery & Suspense",20-07-73,20,07,1973,107,Fresh,92,13,Upright,73,2526,1,12,1
Dinner at Eight,"Classics, Comedy, Drama, Romance",23-08-33,23,08,1933,113,Fresh,90,20,Upright,74,2830,1,18,2
Distant Thunder,Drama,11-11-88,11,11,1988,114,Rotten,43,7,Spilled,45,345,1,3,4
Doctor Zhivago,"Classics, Drama, Television, Romance",22-12-65,22,12,1965,197,Certified-Fresh,84,49,Upright,88,45777,15,41,8
Dodge City,"Classics, Western",08-04-39,08,04,1939,104,Fresh,100,13,Upright,74,2620,1,13,0
Dolls,Horror,01-03-87,01,03,1987,77,Fresh,60,15,Spilled,51,8252,1,9,6
Dr. Jekyll and Mr. Hyde,"Drama, Horror",31-12-31,31,12,1931,97,Certified-Fresh,90,40,Upright,80,5650,10,36,4
How the Grinch Stole Christmas,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television",01-06-67,01,06,1967,,Fresh,100,25,Upright,98,93,5,25,0
Dracula,"Classics, Horror",01-01-31,01,01,1931,75,Certified-Fresh,92,48,Upright,81,44775,7,44,4
